,Title,new_genres,kw_Rake_p3,clean_Plot,full_model_9_beams,full_model_3_beams
675,Arizona Legion,western,"gang, engagement, hatch, captured, thrown, jail, letty, boone, reunited, accepts","Boone Yeager has sold his ranch and cattle, and now spends his days drinking, gambling, and hanging around a gang of very disreputable individuals. His fianc, Letty Meade, is distraught over his sudden change in behavior and breaks off their engagement. In addition, his longtime friend Bob Ives, a lieutenant in the local army troop, also severs his relationship with Yeager in response to Yeager's recent activities. However, it is revealed that Letty's father, Judge Meade, has empowered Yeager to infiltrate the local gang and hunt down its leader, while at the same time organizing the Arizona Rangers.Yeager gets in good with the gang, but cannot get them to reveal who their leader is. Finally, he participates in a stagecoach hold-up with the gang, along with his friend, Whooper Hatch. However, during the hold-up Yeager, Hatch, and two of the gang members are captured and thrown in jail. While behind bars, Yeager finally learns the true identity of the gang leader, who happens to be the local commissioner, Teagle. Yeager gets a meeting with his old friend, Ives, who he tries to tell the truth to, but Ives refuses to believe his story. Even worse, after leaving the meeting, Ives blows Yeager's cover to Teagle.Yeager and Hatch manage to escape, and they round up the Arizona Rangers and go after the gang. When the local cavalry arrive, the gang is routed, and all are arrested, as well as recovering all the money the gang had stolen. Letty and Boone are reunited, and she once again accepts his engagement ring.","During the Civil War, a gang of armed robbers, led by the ruthless Lt. Boone, kidnap a young woman, Letty, and steal her husband's engagement. Letty's father, Boone's brother, is killed in a shootout, but Letty is able to escape with the help of a hatch. The hatch is captured and thrown in jail. The gang kidnaps Letty and takes her to the Arizona Legion, where she is reunited with Boone and accepts a job with the Legion.","A gang of outlaws, led by Letty Boone. kidnap a young woman from a nearby ranch. She is rescued by Boone and her gang. Boone is reunited with Letty and accepts her as his own."
690,Daughter of the Tong,drama,"colleague, chosen, tong, henchmen","Ralph Dickson is an FBI agent assigned to investigate the killing of a colleague. He is chosen to investigate due to an uncanny likeness to the presumed killer. Dickson goes undercover and learns the identity of the gang leader, Carney, who is also known as the Illustrious One and the Daughter of the Tong. Carney stays holed up at the Oriental Hotel while she has her henchmen doing her dirty work.","The film is based on the true story of a colleague of the Tong dynasty. She is chosen as the daughter of the king's heir to the throne by the King's son, King Tong. The king and his henchmen are ruthless crooks and scheming kingpins.","The film is set in China during the Second World War, and tells the story of a colleague and a young Chinese woman. She is chosen as the daughter of the Tong. The Tong's henchmen are a gang of criminals."
731,Three Sons,drama,"build, shares, interest","Daniel Pardway (Edward Ellis) a department store owner is deeply saddened to learn that none of his grown sons are interested in taking over the business he has worked so hard to build. To coerce them, he even tries giving them shares of company stock. In the end, only the youngest son shows any interest at all.",The film tells the story of the three sons of a wealthy businessman and his quest to build a successful real estate empire. His father is a philanthropist who shares a romantic interest in a young woman named Mary. Mary's father also has an interest in Mary.,The film follows the lives of three young men who build a successful business empire. One of the sons is a young man who shares a romantic interest in a wealthy businessman. The other son is an aspiring actor. The film's plot revolves around the relationship between the three sons and the interest they have in each other.
786,The Old Swimmin' Hole,drama,"business, marry, mrs, married","Teenager Betty Elliott has decided to take over the business and social affairs of her father Doc Elliott. She thinks her father should marry the widowed mother, Julie Harper, of her boyfriend Chris Harper. Doc has been a real friend and father to Chris, who, under his guidance, has learned to take care of all the sick animals in town, but lack of money keeps the widow from sending Chris on to finish high school and medical training is out of the question.Wealthy Grandpa Harper sends his attorney Baker to tell Mrs. Harper that all of Jimmy's dreams could be realized if the widow, whom the grandfather dislikes, would give up custody of her son. The lawyer also begins to court Julie and this throws a kink in Betty's plans to see her father and the widow get married.","The film tells the story of a young man who is forced to sell his business to a wealthy man. When he learns that the man's wife is pregnant, he decides to marry her. Then he discovers that his wife is married to another man.","The story is about a businessman who is forced to sell his business to a wealthy man. When he discovers that his wife has died, he decides to marry her. The man's wife, Mrs. O'Brien. is married to the same man."
912,Stand By for Action,war,"well-connected, rescue, survivors, attempts, enemy","During World War II, well-connected, Harvard-educated Lieutenant Gregg Masterman (Robert Taylor) enjoys his cushy posting as junior aide to Rear Admiral Stephen Old Ironpants Thomas (Charles Laughton), playing tennis and arranging social events. During a chance encounter, he gives bad advice to up-from-the-ranks Lieutenant Commander Martin J. Roberts (Brian Donlevy) out of spite. As a result, Thomas gives Roberts command of an obsolete, World War I-vintage destroyer, the Warren. To his dismay, however, Masterman finds himself assigned by Thomas as Roberts' new executive officer. When Masterman learns that Henry Johnson (Walter Brennan), the ship's civilian caretaker, was a member of the Warren's original crew, he helps him reenlist and serve aboard his beloved ship.Despite his awkward beginning, Masterman begins to turn into an effective officer under Roberts' tutelage, though Roberts has to constantly remind him that he cannot put the welfare of one person over that of the mission. On their way to rendezvous with a convoy commanded by Thomas, they are attacked by a Japanese airplane. Then, Johnson sustains a serious head injury during a storm, leaving him delirious and believing he is back in World War I. Finally, they rescue two pregnant women and 20 babies, survivors of a torpedoed ship. For comic relief, the crewmen (especially Masterman) have to deal with their unusual passengers. One woman gives birth just before they sight the convoy.An aircraft hit cripples Thomas's flagship, damaging the steering mechanism. Thus, when a Japanese battleship sights the convoy, it is all up to the Warren. Roberts informs Masterman of his plan of attack. He intends to set up a smoke screen, hide behind it, and then emerge to launch a torpedo salvo. When the captain is injured, Masterman assumes command. During the battle, Johnson takes over the helm when a crewman is knocked out. It takes two attempts, but the Warren sinks the enemy.",The film tells the story of a well-connected and well-respected U.S. Army scout who is sent to rescue a Japanese submarine. He is accompanied by a group of survivors. They are aided in their attempts to rescue the submarine by the enemy.,A well-connected and well-paid U.S. Army officer is sent to the United States to rescue a Japanese submarine. He is accompanied by a group of survivors. They attempt to rescue the submarine but are thwarted by the enemy.
928,Bar 20,western,"hoppy, robbery, scheme, apprehended","Hopalong Cassidy and his sidekicks California Carlson and Lin Bradley leave their Bar 20 ranch for a cattle buy from the Stevens spread. Along the way, they encounter Mrs. Stevens, her daughter Marie and ranch hand Mark Jackson, whose stagecoach has been robbed by the Quirt Rankin gang.Marie's stolen jewels are held for ransom and her sweetheart Richard Adams intends to raise the money. Jackson, secretly the boss of Quirt's gang, tries to swindle Richard out of his land and lends him cash that was Hoppy's cattle money before the robbery. He also kills Quirt.Hoppy mistakenly believes Richard to be the thief and takes back the money. The honest Richard forms a posse that places Hoppy, California and Lin under arrest. A scheme to trap Jackson pays off, however, and once he's apprehended, all is well.","Hoppy. a ruthless outlaw, is sent to jail for robbery at Bar 20. When he learns of the scheme, he goes to jail. He is apprehended and sentenced to 20 years in prison.","Hoppy. a gangster, is hired to rob a small town out west. Hoppy, however, has a plan of his own. He hires a young man to help him with the robbery. He is able to convince the town's sheriff that a scheme is being carried out. The sheriff is apprehended by the sheriff."
929,Bullets and Saddles,western,"gang, plan, filmed",A crooked businessman tries to get control of an area with his gang. The Range Busters are called in to try to stop his plan. It was filmed at the Corriganville Movie Ranch and starred Ray Crash Corrigan.self-published source?,The film follows a gang of outlaws. One of the gang tries to steal a gun from a bank robbery. The other gang's plan is to rob the bank. The film was filmed in a small Texas town.,The film follows a gang of outlaws. One of them is a young woman who is raped and killed by the gang. The film was filmed in a small Texas town.
1005,Uncertain Glory,drama,"guillotine, captured, apprehended, perception","During World War II, Jean Picard (Errol Flynn) is a convicted killer being led to the guillotine. He escapes during an air raid but is captured by French Sret Inspector Marcel Bonet (Paul Lukas). They learn that a bridge has been blown up by three saboteurs, and that the Germans have taken 100 hostages who will be killed unless the saboteurs are apprehended by the Vichy police. To buy time in order to escape again, Picard persuades Bonet to let him pose as one of the saboteurs to save the hostages. In the course of enacting a story that will convince the Vichy that Picard is one of the escaped saboteurs, he and Bonet encounter the real saboteur, captured by the Vichy, and aid him in escaping.Picard falls in love with Marianne (Jean Sullivan), a local girl, and with freedom just ahead for both of them, struggles with his conscience over the fate of the hostages, her trust in him, and his own perception of himself.",Uncertain Glory tells the story of a young man who is tortured by a guillotine. He is captured and apprehended by an unknown force. The film is based on the true story of the man and his perception of reality.,The film opens with a young woman being tortured by a guillotine. The young woman is captured and apprehended. The film then cuts to a scene in which the young woman's perception of the world is questioned.
1013,Between Two Women,drama,"women, show, understand, longer, eat, chance, synopsis, movie, plot","This episode in the series should have been called Between Three Women, because there are plot strands involving three, not two, women. Dr. Gillespie's (Lionel Barrymore) assistant, Dr. Red Adams (Van Johnson), is still fending off the romantic advances of beautiful blond socialite and social worker Ruth Edley (Marilyn Maxwell), who finally succeeds in winning Red's heart. The second woman is a pretty night club singer Edna (Gloria DeHaven), who collapses suddenly one night after a show and cannot understand why she is no longer able to eat. Red finds out that a complicated subconscious obsession is the cause. The third woman is Sally (Marie Blake), the reliable and wise-cracking switchboard operator in all of the episodes. Sally is stricken with Bright's Disease and refuses to let anyone besides Red operate on her ailing kidney. Things turn out well for Red and all three women.There are some scenes in the singer's night club that draw inspiration from the country's immersion in the Second World War. As part of a home front money raising contest to help the war effort, Ruth bids extravagant amounts of money for the chance to kiss Red in 's synopsis of the movie has Red romantically involved with ailing socialite Cynthia Grace (Lucille Bremer), who supposedly suffers from a life-threatening blood clot, but this is the plot for Dark Delusion)","Between Two Women is a story about two women. The first story is about a woman who is sexually assaulted by a man in a show. The second story tells the story of a young woman who has been sexually abused by her husband. The third story, about the relationship between the two women, is based on the true story of the first woman to be raped by the man who killed her husband, and the second story about the third woman who was killed by the same man in the first story. The story is told through a series of flashbacks, in which both women are shown to understand that no longer they can eat together. The fourth story is set in New York City, where two women are given a chance to eat. The final story is shown in the second half of the movie.Synopsis of the film The movie's plot","Between Two Women is a story about two women. The first story is about a young woman who is raped by two women, and the second story is the story of a man who is killed in a show. The second story concerns a woman who has a heart attack and is unable to speak. The third story concerns two women who have been separated for a long time, and who are trying to understand why they are no longer able to eat. The fourth story concerns the relationship between the two women as they try to understand each other. The last story is based on a real-life case involving a sex abuser who is trying to get her to give her a second chance. The final scene shows the two of them having an affair, and they have a child. The film ends with a synopsis of the movie's plot."
1017,The Cherokee Flash,western,"sheriff, murder, catch","Lawyer Butler, wanting Jeff Carson's ranch, has the Sheriff and his gang frame the bank holdup on him. Then they kill a witness that could free Carson and blame the murder on his son Sunset. But Sunset escapes, frees his father, and then sets a trap to catch the real killers.",The Cherokee Flash tells the story of a gang of outlaws who are kidnapped by the sheriff. The sheriff's daughter is convicted of murder. The film follows the gang as they try to catch the real killer.,The Cherokee Flash follows the adventures of a gang of robbers led by the sheriff of the small town of Cherokee City. The gang tries to thwart the gang's plans to murder him. The film ends with a chase through the town to catch the crooks.
1040,The Man in Half Moon Street,drama,"scientist, found, schnzel, die","A scientist, Dr. Karell (Asther), has found a way to prolong life (he is 120 years old) with the help of Dr. Van Bruecken (Schnzel). However, Dr. Karell has now fallen in love, and has discovered that if he doesn't get new glands, he will die.","The film tells the story of a scientist, Dr. Schnzel. whose body was found in a squat on a deserted half moon street. The story is told from the point of view of the scientist's wife, whose husband is a Nazi saboteur, and the slain scientist, who is about to die.","A scientist, Dr. Heinrich Schnzel. is found dead in a New York City hotel. He is reunited with his wife and children, but he is unable to find a suitable man for his new life. Schneider, a wealthy businessman, is able to convince Schnzl to help him find the man who found the man. The man's wife, Ann, is also a victim of a robbery, and Schnschl is forced to die."
1068,The Green Years,"comedy, drama","live, grandfather, great-grandfather, marrying, sweetheart","Scotland 1900. Robert Shannon, a young orphan, is sent to live with his Scottish grandparents. His great-grandfather becomes the lad's mentorfather figure, helping him overcome the challenges of youth, and mollifying the cold stinginess of Robert's grandfather. The young Robert suffers life's trials, and the kind, old great-grandfather, despite given to drink and tall tales, is always there to help him rebound. In time, the intelligent Robert grows into a teenager, and comes to love his childhood friend Alison. He proceeds to attend medical college, and attains a career before marrying his sweetheart.",The Green Years tells the story of a young man who is forced to live in a New York City boarding house. He lives with his grandfather. his great-grandfather. and his sweetheart. The story is told through a series of flashbacks.,"The Green Years tells the story of a young man who is forced to live in a shabby suburban house. His grandfather. a wealthy businessman, is a disillusioned man. His great-grandfather was a successful businessman who was forced to leave his family after his wife died. He is now married to his sweetheart."
